媒体uid	status	platform
131a919f-38ae-4d11-9898-72e16688fdb4	active	wap
2099f856-3f01-48ce-a938-a082afd17bb5	pause	ios
2bf350af-18b4-4efe-9cca-7540c3ce2976	active	wap
3a228862-0f5c-4505-bd42-ba0f9eb4097d	active	android
3ac312aa-762d-42db-b4d1-ed1f6900a271	active
55bfb0a2-93fd-cee8-4997-f28c31626a23	active	android
59e8493c-e287-459b-8ad6-04fabbea45b9	active	android
5b1de538-fc64-4741-a4d0-107b5436497e	pause	android
62efb02f-ed9e-470a-b84f-16638da2c1d5	pause	android
6941a4fb-e5a3-4501-866e-69d61e1d00fa	active	wap
7029638e-b439-3740-179f-691bd006591d	active	android
728f7050-19ab-f061-61d6-32ff3785628f	active	android
807b94a7-8440-483f-804c-85da003b6020	active	ios
80f25c6e-3458-46d7-a9c5-6a897819e113	active	wap
87bc9503-88b9-4d0a-87be-5ea9284a9d61	active	ios
9b057f0e-14b2-4d0b-9127-11727bbfd5ae	pause	ios
9c365c35-3998-4d26-8c10-34d172286895	pause	ios
9ea2a95c-8fc2-46fe-85f8-cb2626b0819f	pause	ios
a9a30216-d430-4ec3-a364-c17cfbe57400	pause	android
dab81178-51b2-4a23-9bb1-9a2a51449454	pause	wap
dc4eca64-b369-4fe1-a8dd-95a6302555e2	active	android
e7c20d3d-77c1-4b24-8cac-f5bc0e707a71	pause	wap
e9dfb7f3-5e1d-4e7f-9154-503fd12f6bcd	active	wap
f27d020f-0590-44df-8dc0-0119486fcabe	pause	wap
f6b2702c-62b7-416d-b651-91922a489567	active	wap
f75382d6-17c5-456f-97f1-5bb3a5e930af	pause	wap
