slot uid	status状态_	合作模式	底价（元）	媒体分成比例	利润率	广告成本
051e4e12-7b92-f5d9-8d3c-79b195f2b291	active	4	10		20	12.5
0b49a75c-d1b0-4ee3-baca-5bed3b4884b3	active	0	10		50	20
0ec25c07-2dda-4aae-a1e9-ddb51de2a311	pause	0	5		20	6.25
117bfce8-a74c-486a-8d2d-8dcaa8915e8f	active	0	5		20	6.25
1a267499-79ef-4cd3-9b36-f8e83d2229f9	active	0	10		50	20
1edf31a6-4e70-4c2c-88f9-650264764b8a	pause	0	5		20	6.25
26452c5b-5ee2-44a7-8608-c48e6313e497	active	0	20		50	30
2b76e365-f46e-40df-b8cf-18179377f3d9	active	0	5		20	6.25
2d5b12af-6d47-4b56-8f22-7b3fa1d338d1	active	0	5		20	6.25
44326fe7-ad05-4486-b601-d0426c3c72f0	pause	0	5		20	6.25
44f49881-fae4-4a15-a3ba-55a16a376847	pause	0	5		20	6.25
47c2ad1b-902a-458b-86f0-18e7e4d0b475	pause	0	5		20	6.25
4f42514e-72e8-41ef-8689-883ec590fa76	pause	0	5		20	6.25
620c0584-09f9-4a5c-b4bd-f9bb9a15cbc7	active	0	5		20	6.25
6aac90c6-6ad2-4927-b3ad-0cbc4adbbb81	pause	0	5		20	6.25
720b814a-4f55-46af-8c20-0ed0420aa8ef	active	0	5		20	6.25
7bcdf75a-d237-b8e0-2e30-1f4091fb6bc8	active	4	10		0	10
7ed36867-ec94-4e37-8a73-f3887ca7fe9f	pause	0	5		20	6.25
8802d199-5fbc-4739-84f7-83821c826bc5	pause	0	5		20	6.25
8b4c972d-5347-4bb8-8251-557f5faa83e2	pause	0	5		20	6.25
8e359d1d-6e2a-4c0f-abea-b9756c73d637	active	0	7		50	10.5
8ef08f09-0a01-4618-998b-ace425dcb46a	active	0	5		20	6.25
9d98a8bf-9437-4ba5-b986-0d6c5ca02a0d	pause	0	5		20	6.25
a92a4636-41ea-4b55-96ac-bd66d1eedcda	active	0	10		50	15
aac2927c-fd18-4199-842d-ebcfe860012f	active	0	5		20	6.25
b50e19db-6063-45f2-a1ff-638d932aba4e	pause	0	5		20	6.25
b63cbfa2-2c06-4f6e-a2bb-eeedc8369958	active	0	10		50	20
b97916f4-9349-410e-b046-fbbf49d341b1	active	0	5		20	6.25
bf401d1f-48a7-49b4-8216-09db62a3eb0c	pause	0	5		20	6.25
c1519b9c-74b6-481c-906c-75b163d2ac3d	pause	0	5		20	6.25
cafcb5c1-fbcf-4a2c-8c92-4c32e8832b75	active	0	10		50	15
db366e33-2abd-402e-a78f-20dd4b36bb43	active	0	5		20	6.25
eaa4b4ab-5449-4d42-83a5-b973ee101ac7	pause	0	5		20	6.25
